date,NFLX,IBM,GE,GOOG,AAPL,KO,AMZN,HD,NKE,^DJI,WMT
2018-05-08,32.689,95.4226,64.781,52.2011,43.6303,32.4394,79.6195,149.9721,60.382,24360.2109,25.1356
2018-05-09,33.03,96.2188,66.3698,53.63,43.9375,32.4161,80.4,151.0419,59.9322,24542.5391,24.35
2018-05-10,32.96,97.3185,66.6876,54.3636,44.566,32.7264,80.454,151.6903,59.9057,24739.5293,24.3942
2018-05-11,32.646,97.251,66.2791,54.3978,44.3965,32.6954,80.1455,154.2433,60.3556,24831.1699,24.5978
2018-05-14,32.853,97.359,66.7784,54.4939,44.2929,32.6178,80.077,154.8674,60.7172,24899.4102,24.8957
2018-05-15,32.613,96.9812,66.7784,53.4552,43.8903,32.3696,78.806,152.3549,61.2993,24706.4102,24.9341
2018-05-16,32.819,97.5817,68.2311,53.581,44.3,32.2376,79.364,151.0581,62.9222,24768.9297,25.409
2018-05-17,32.522,97.4939,68.2311,53.4235,44.0198,32.8196,79.088,150.2071,62.5694,24713.9805,24.9252
2018-05-18,32.418,97.2105,67.9587,52.8177,43.8597,32.7264,78.7185,151.901,62.9046,24715.0898,24.6745
2018-05-21,33.182,98.1619,69.2752,53.4725,44.1705,32.9049,79.273,153.8219,62.9575,25013.2891,24.9311
2018-05-22,33.162,97.892,69.4114,52.9846,44.0598,32.7808,79.07,151.4552,62.8958,24834.4102,24.5948
2018-05-23,34.472,97.6086,64.3724,53.478,44.3423,32.8972,80.093,151.2932,62.9222,24886.8105,24.4886
2018-05-24,34.929,97.2038,66.2791,53.4557,44.2929,32.8351,80.1535,151.6822,63.6631,24811.7598,24.4414
2018-05-25,35.129,96.9137,66.4152,53.2784,44.3941,32.8972,80.5075,151.4391,63.7248,24753.0898,24.3264
2018-05-29,34.973,95.2809,64.3724,52.5186,44.234,33.1144,80.6435,149.9397,62.5518,24361.4492,24.3087
2018-05-30,35.354,96.2255,64.327,52.8891,44.1399,33.4635,81.2445,152.4826,63.7072,24667.7793,24.8161
2018-05-31,35.16,95.3417,63.9184,53.7405,43.9916,33.3627,81.481,152.0424,63.3279,24415.8398,24.35
2018-06-01,35.993,95.7735,64.0092,55.4498,44.7849,33.4558,82.077,152.6945,64.3539,24635.2109,24.4827
2018-06-04,36.181,96.5089,62.2388,56.43,45.1592,33.7429,83.2635,155.9626,65.3003,24813.6895,25.1996
2018-06-05,36.58,96.9542,62.6473,56.4483,45.5076,33.448,84.8175,156.4354,65.4949,24799.9805,24.9636
2018-06-06,36.745,97.6356,61.921,56.3106,45.6653,33.7196,84.7875,157.7802,66.114,25146.3906,24.9459
2018-06-07,36.14,98.0742,62.5565,55.6657,45.5429,33.7041,84.465,159.883,66.1228,25241.4102,25.0609
2018-06-08,36.057,98.6004,63.2375,55.5177,45.1286,34.0998,84.1995,161.6434,66.2467,25316.5293,24.8869
2018-06-11,36.145,98.8973,63.4645,55.9694,45.018,34.2394,84.456,162.7111,65.9725,25322.3105,24.8692
2018-06-12,36.383,99.093,63.4645,56.4315,45.2651,34.4567,84.9375,164.0722,65.7072,25320.7305,24.8102
